,Model,M,starting_alpha,eta1_0,phi1_0,time_specific_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.5,False,False,True,3,,-610.9124685769905,124.46404099464417,1.6904260146450927,2,5.3076923076923075,28,1,1.7529196359117911
1,drpm,0.1,0.5,False,False,True,4,,-389.38988058921063,215.0997040271759,1.6999026710254694,1,8.692307692307692,8,1,1.6208016710844153
2,drpm,0.1,0.5,False,True,True,3,-5114.858814574066,-487.48756152596957,141.17803072929382,1.6849178609104438,0,6.0576923076923075,16,2,1.6065766801530676
3,drpm,0.1,0.5,False,True,True,4,,-231.5169736722151,250.4917540550232,1.7018615793487175,0,10.192307692307692,6,2,1.6792814858013652
4,drpm,0.1,0.5,True,False,True,3,,431.9160755861717,107.31262493133545,1.6738645931196772,0,4.846153846153846,34,2,1.6514021115331317
5,drpm,0.1,0.5,True,False,True,4,,-146.08297827507008,228.7918062210083,1.7016161118759978,0,9.442307692307692,6,2,1.478352505537838
6,drpm,0.1,0.5,True,True,True,3,,59.37732883562981,109.75955009460449,1.6838520505583336,0,4.769230769230769,13,3,1.6792814858013652
7,drpm,0.1,0.5,True,True,True,4,,-302.13466722365285,204.34697699546814,1.6990239522653083,0,8.384615384615385,11,2,1.6792814858013652
8,drpm,0.1,0.5,False,False,False,3,,-685.0310376820789,181.73269605636597,1.6898049271504316,0,7.096153846153846,8,4,1.6792814858013652
9,drpm,0.1,0.5,False,False,False,4,,-463.45825704729486,289.8245062828064,1.700592792556688,0,10.98076923076923,5,2,1.6792814858013652
10,drpm,0.1,0.5,False,True,False,3,,-557.6577594815105,153.64538097381592,1.688318510557709,0,6.134615384615385,14,2,1.6792814858013652
11,drpm,0.1,0.5,False,True,False,4,,-254.48159195979903,243.83534574508667,1.707588446891754,0,9.673076923076923,7,2,1.6792814858013652
12,drpm,0.1,0.5,True,False,False,3,-2353.448745513539,-265.99340604201325,118.919020652771,1.6907538030100828,1,5.076923076923077,14,1,1.6792814858013652
13,drpm,0.1,0.5,True,False,False,4,,-507.8302129870296,250.14890909194946,1.7010358750462427,0,9.98076923076923,6,2,1.6208016710844153
14,drpm,0.1,0.5,True,True,False,3,,16078.409915176417,444.91286396980286,1.7153794827743913,0,13.692307692307692,13,2,1.623622547426058
15,drpm,0.1,0.5,True,True,False,4,,3923.026133810132,287.06676721572876,1.7159182394534944,0,11.25,6,2,1.4994370172197717
