,Model,M,starting_alpha,eta1_0,phi1_0,time_specific_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.5,False,False,True,3,-inf,-315.39894551790843,128.85414695739746,1.689595385605502,0,5.365384615384615,28,2,1.541464928847895
1,drpm,0.1,0.5,False,False,True,4,,-193.12610126784878,231.53148698806763,1.6984466232645608,0,9.538461538461538,6,2,1.541464928847895
2,drpm,0.1,0.5,False,True,True,3,,-357.2419665110187,145.46181321144104,1.6952306527283147,0,6.173076923076923,13,2,1.6792814858013652
3,drpm,0.1,0.5,False,True,True,4,,3747.147922016713,244.89065384864807,1.7051805027352276,0,9.98076923076923,7,2,1.4945079457601231
4,drpm,0.1,0.5,True,False,True,3,,492.31545125144794,178.9369559288025,1.7079645014157139,0,7.115384615384615,9,2,1.541464928847895
5,drpm,0.1,0.5,True,False,True,4,,-425.1364112202278,202.01638984680176,1.697086869894687,1,8.365384615384615,8,1,1.6208016710844153
6,drpm,0.1,0.5,True,True,True,3,-1626.9248644554998,-359.31324707092745,108.63108015060425,1.6817463298119284,0,4.75,17,3,1.6792814858013652
7,drpm,0.1,0.5,True,True,True,4,,3428.642871648929,368.2451810836792,1.7016209642902782,0,13.73076923076923,6,2,1.478352505537838
8,drpm,0.1,0.5,False,False,False,3,,-348.9945786011452,134.50324201583862,1.6819777142522878,1,5.576923076923077,22,1,1.7529196359117911
9,drpm,0.1,0.5,False,False,False,4,,9.055565879387583,271.30490899086,1.7096409204367906,0,10.673076923076923,5,2,1.541464928847895
10,drpm,0.1,0.5,False,True,False,3,,-474.9603616874347,201.60392498970032,1.6951967919332613,0,7.788461538461538,9,2,1.6208016710844153
11,drpm,0.1,0.5,False,True,False,4,,-632.8042445373271,218.33645105361938,1.6969471548985626,0,8.73076923076923,8,2,1.6792814858013652
12,drpm,0.1,0.5,True,False,False,3,,231.87012033844545,172.0752501487732,1.6966359372416762,0,7.0,10,2,1.6792814858013652
13,drpm,0.1,0.5,True,False,False,4,,-364.3616207241686,202.57376313209534,1.6953032414160798,3,8.307692307692308,10,1,1.478352505537838
14,drpm,0.1,0.5,True,True,False,3,,131.3879637060165,145.22321391105652,1.6934878243345384,0,6.0,10,2,1.6792814858013652
15,drpm,0.1,0.5,True,True,False,4,,-135.63699533952453,208.3029170036316,1.694766530410834,0,8.403846153846153,8,2,1.478352505537838
