,Method,M,starting_alpha,alpha_0,eta1_0,phi1_0,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,100,0.75,True,True,True,3,-1351.3918286927048,2689.9366443856325,24.183598041534424,1.2889132047631822,0,1.0,34,34,1.7529196359117911
1,drpm,100,0.75,True,True,True,4,-2155.216274466735,3620.7924075276624,38.76373505592346,1.4231091546971177,2,1.1730769230769231,34,1,1.7529196359117911
2,drpm,100,0.75,True,True,False,3,-1781.8488638865797,3545.737637544607,24.0324490070343,1.3914755674902886,0,1.0,34,34,1.7529196359117911
3,drpm,100,0.75,True,True,False,4,-1587.926261290933,3136.9038891336954,23.211177825927734,1.337503023710445,2,1.0576923076923077,34,1,1.7529196359117911
4,drpm,100,0.75,True,False,True,3,-1206.9387239145376,2390.3173003200354,25.17905902862549,1.2383121902072012,0,1.0,34,34,1.7529196359117911
5,drpm,100,0.75,True,False,True,4,-1273.066129306233,2467.5087452999437,30.857561111450195,1.252374502417416,1,1.1538461538461537,34,1,1.7529196359117911
6,drpm,100,0.75,True,False,False,3,-1200.157496708807,2381.3711478077857,24.209222316741943,1.2457507194960655,0,1.0,34,34,1.7529196359117911
7,drpm,100,0.75,True,False,False,4,-1344.8536727889368,2415.3031776787498,29.40442395210266,1.2298001952410849,1,1.2692307692307692,34,1,1.7529196359117911
8,drpm,100,0.75,False,True,True,3,-1226.9043933527464,2440.393088849166,23.176722764968872,1.2612471309440845,0,1.0,34,34,1.7529196359117911
9,drpm,100,0.75,False,True,True,4,-1590.5649857016922,3168.282905008987,20.621903896331787,1.355039938312826,0,1.0,34,34,1.7529196359117911
10,drpm,100,0.75,False,True,False,3,-1360.811391900943,2706.401988526153,23.301284074783325,1.2743007470055645,0,1.0,34,34,1.7529196359117911
11,drpm,100,0.75,False,True,False,4,-1996.3315897104826,3843.4239741467895,27.05044674873352,1.4427220165378234,1,1.2692307692307692,34,1,1.7529196359117911
12,drpm,100,0.75,False,False,True,3,-1200.0936905524766,2378.3578050412752,23.407390117645264,1.2468102623703303,0,1.0,34,34,1.7529196359117911
13,drpm,100,0.75,False,False,True,4,-1210.059903066762,2390.5192859730973,22.43099331855774,1.2357260738147737,0,1.0,34,34,1.7529196359117911
14,drpm,100,0.75,False,False,False,3,-1200.0974411620894,2378.964927033503,23.280091762542725,1.2208830690512553,0,1.0,34,34,1.7529196359117911
15,drpm,100,0.75,False,False,False,4,-1198.5835349504243,2376.063187337166,20.936584949493408,1.2422303596035076,0,1.0,34,34,1.7529196359117911
