,Method,M,starting_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,3,-1352.7928816398196,2690.8631787949907,27.204514026641846,1.2836912029588805,0,1.0,34,34,1.7529196359117911
1,drpm,0.1,0.0,4,-1573.8706558274814,3114.593280605816,35.3174729347229,1.3456213803512447,0,1.0,34,34,1.7529196359117911
2,drpm,0.1,0.1,3,-1493.5030469877504,2973.475257627514,26.89047122001648,1.3042461693552105,0,1.0,34,34,1.7529196359117911
3,drpm,0.1,0.1,4,-1802.5926119585508,3575.5136617182966,35.279858112335205,1.3911832339764296,0,1.0,34,34,1.7529196359117911
4,drpm,0.1,0.25,3,-1622.4086539173165,3232.3506002166328,26.72864818572998,1.361347646108458,0,1.0,34,34,1.7529196359117911
5,drpm,0.1,0.25,4,-1668.2241318023919,3312.129841643379,30.666022777557373,1.4026518004124076,0,1.0,34,34,1.7529196359117911
6,drpm,0.1,0.5,3,-1217.0730863977346,2422.0517993003727,26.722954034805298,1.2569008200239222,0,1.0,34,34,1.7529196359117911
7,drpm,0.1,0.5,4,-1508.7309878945703,2987.8366672691022,32.352261781692505,1.3483387801838094,0,1.0,34,34,1.7529196359117911
8,drpm,0.1,0.75,3,-1667.5660248989136,3322.5410099284823,26.84703516960144,1.3679713381207947,0,1.0,34,34,1.7529196359117911
9,drpm,0.1,0.75,4,-1702.8768422599537,3383.73651611871,30.43798279762268,1.376700866496515,0,1.0,34,34,1.7529196359117911
10,drpm,0.1,0.9,3,-1431.6717094405753,2850.1328309467535,26.716796875,1.3037773572011884,0,1.0,34,34,1.7529196359117911
11,drpm,0.1,0.9,4,-1646.168585181406,3267.6725280607907,30.443765878677368,1.3577966450792758,0,1.0,34,34,1.7529196359117911
12,drpm,1.0,0.0,3,-1707.1007918103307,3402.517713418075,26.78568720817566,1.3913453692255326,0,1.0,34,34,1.7529196359117911
13,drpm,1.0,0.0,4,-1325.7852046827065,2605.749691959441,45.12094688415527,1.2596882237709277,0,1.0,34,34,1.7529196359117911
14,drpm,1.0,0.1,3,-1732.2193299296478,3452.5975006400295,27.080622911453247,1.3980913139199884,0,1.0,34,34,1.7529196359117911
15,drpm,1.0,0.1,4,-1783.3278047395688,3525.0724205219994,43.26966190338135,1.417853376970955,0,1.0,34,34,1.7529196359117911
16,drpm,1.0,0.25,3,-1731.741628468372,3451.4244711903816,27.034384965896606,1.378698002081757,0,1.0,34,34,1.7529196359117911
17,drpm,1.0,0.25,4,-1761.6716917242502,3483.5448872335055,42.19482684135437,1.3755828183918133,0,1.0,34,34,1.7529196359117911
18,drpm,1.0,0.5,3,-1420.9603901042924,2827.366862585256,27.405853033065796,1.319668317333053,0,1.0,34,34,1.7529196359117911
19,drpm,1.0,0.5,4,-1297.3963086549973,2551.900596250104,43.69690990447998,1.259645414787272,0,1.0,34,34,1.7529196359117911
20,drpm,1.0,0.75,3,-1889.0764789102363,3766.5262588173605,26.83728790283203,1.4301058256841017,0,1.0,34,34,1.7529196359117911
21,drpm,1.0,0.75,4,-1548.0657535569756,3048.296615036555,41.086426973342896,1.3035826497432315,0,1.0192307692307692,34,5,1.7529196359117911
22,drpm,1.0,0.9,3,-1312.220822500443,2610.736144099975,26.815431833267212,1.2794480927559055,0,1.0,34,34,1.7529196359117911
23,drpm,1.0,0.9,4,-1341.5046746730752,2642.47187156325,40.093931674957275,1.2694322349588536,0,1.0,34,34,1.7529196359117911
24,drpm,10.0,0.0,3,-1236.5481868350055,2460.5783493103463,26.71851396560669,1.26791075463583,0,1.0,34,34,1.7529196359117911
25,drpm,10.0,0.0,4,-1860.7653041515077,3682.7212726482317,45.13539671897888,1.4395957365044703,0,1.0,34,34,1.7529196359117911
26,drpm,10.0,0.1,3,-1435.97617136762,2856.7980331282547,28.075204849243164,1.3117186122992204,0,1.0,34,34,1.7529196359117911
27,drpm,10.0,0.1,4,-1328.694446952005,2610.927398322802,44.79032278060913,1.252642922199185,0,1.0192307692307692,34,2,1.7529196359117911
28,drpm,10.0,0.25,3,-1582.873665381713,3152.546243762316,26.893505096435547,1.3579453376173165,0,1.0,34,34,1.7529196359117911
