,Model,M,starting_alpha,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,-1355.1087839641632,2696.3996714744158,14.09426474571228,1.2764832813184754,0,1.0,34,34,1.7529196359117911
1,drpm,0.1,0.1,-1843.2279291933733,3677.45237217402,13.990737915039062,1.425013680162333,0,1.0,34,34,1.7529196359117911
2,drpm,0.1,0.25,-1557.733764640888,3103.4466221711605,13.850993156433105,1.3448457977610975,0,1.0,34,34,1.7529196359117911
3,drpm,0.1,0.5,-1351.15528298015,2691.310889550875,13.902083158493042,1.2796584411486813,2,1.0576923076923077,34,1,1.7529196359117911
4,drpm,0.1,0.75,-1235.5927498440442,2461.979021945462,13.914232015609741,1.2362687980011406,0,1.0576923076923077,34,4,1.7529196359117911
5,drpm,0.1,0.9,-1776.1178616754335,3542.8572249288754,13.88468623161316,1.4022109438732504,0,1.0,34,34,1.7529196359117911
6,drpm,1.0,0.0,-1304.327016568577,2580.0665359640257,14.480978012084961,1.2917925095974572,1,1.2115384615384615,34,1,1.7529196359117911
7,drpm,1.0,0.1,-1416.4816985540267,2819.722556544632,14.09797978401184,1.31297702507531,1,1.0192307692307692,34,1,1.7529196359117911
8,drpm,1.0,0.25,-1539.0842370857386,3051.635608946959,14.420013189315796,1.3101963285366531,3,1.1538461538461537,34,1,1.7529196359117911
9,drpm,1.0,0.5,-1780.6248562145092,3459.7529703121486,14.281004905700684,1.379877074359325,1,1.0192307692307692,34,1,1.7529196359117911
10,drpm,1.0,0.75,-1616.8256815984275,2871.295149854104,18.689690113067627,1.584844031859843,3,3.1153846153846154,34,1,1.6792814858013652
11,drpm,1.0,0.9,-1554.605772054372,3096.0328403875283,14.147923946380615,1.3461406240943576,2,1.1538461538461537,34,1,1.7529196359117911
12,drpm,10.0,0.0,-1294.6040000120659,2564.121808091057,13.262540102005005,1.2665601382949816,2,1.1153846153846154,34,1,1.6792814858013652
13,drpm,10.0,0.1,-2371.99769726763,3606.7985815257666,14.602866888046265,1.3756853859406364,1,1.0192307692307692,34,1,1.7529196359117911
14,drpm,10.0,0.25,-1654.9654006423982,3235.0403217341586,13.280346870422363,1.3658326645902477,2,1.1153846153846154,34,1,1.7529196359117911
15,drpm,10.0,0.5,-1904.7689832754406,3635.6353243615445,13.966716289520264,1.3945046962389032,0,1.0,34,34,1.7529196359117911
16,drpm,10.0,0.75,-1839.913157217934,3678.899053786177,14.25701117515564,1.3988971400101684,1,1.1923076923076923,34,1,1.7529196359117911
17,drpm,10.0,0.9,-1752.1112730723216,3428.624176239765,14.858510732650757,1.410992086370571,3,1.3269230769230769,34,1,1.7529196359117911
18,drpm,100.0,0.0,-1814.7398423307318,3604.4356720234086,13.65861701965332,1.4164424686804755,2,1.1730769230769231,34,1,1.7529196359117911
19,drpm,100.0,0.1,-1665.0207275961404,3300.9459622032236,12.531121969223022,1.345201403212761,1,1.0192307692307692,34,1,1.7529196359117911
20,drpm,100.0,0.25,-1233.6421177981574,2444.613578968672,12.698889970779419,1.2711123008700396,1,1.0961538461538463,34,1,1.7529196359117911
21,drpm,100.0,0.5,-1709.4041736827096,3400.1068002074508,12.130781888961792,1.367396839241131,1,1.0384615384615385,34,1,1.7529196359117911
22,drpm,100.0,0.75,-1724.0578369476646,3354.2685885985484,12.114044904708862,1.3545703746073254,0,1.0,34,34,1.7529196359117911
23,drpm,100.0,0.9,-1307.1413709978387,2593.5507156379736,12.248178958892822,1.2708388194646583,0,1.0,34,34,1.7529196359117911
