,Method,M,starting_alpha,alpha_0,eta1_0,phi1_0,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,False,False,False,3,,-395.27983294969914,121.3250687122345,1.6722286954795549,1,5.0,34,1,1.7529196359117911
1,drpm,0.1,0.0,False,False,False,4,,-584.5628155527726,258.17523407936096,1.7067773636125858,1,10.153846153846153,5,1,1.4945079457601231
2,drpm,0.1,0.1,False,False,False,3,,-152.94997675473306,133.5782389640808,1.6884257538616507,0,5.480769230769231,14,2,1.7529196359117911
3,drpm,0.1,0.1,False,False,False,4,,-423.83328659463666,244.54738092422485,1.6960263689621689,0,9.73076923076923,6,2,1.478352505537838
4,drpm,0.1,0.25,False,False,False,3,-5156.78911545047,-347.7447768878551,147.67868900299072,1.6859249990123946,0,6.173076923076923,9,4,1.7529196359117911
5,drpm,0.1,0.25,False,False,False,4,,-528.5418596336582,226.94455981254578,1.6854238521826923,0,9.25,10,2,1.6208016710844153
6,drpm,0.1,0.5,False,False,False,3,,-272.7649856204634,144.96993780136108,1.6869327810832506,3,5.961538461538462,19,1,1.6792814858013652
7,drpm,0.1,0.5,False,False,False,4,,-231.45070104507866,275.0682113170624,1.7022232635373653,0,10.653846153846153,5,2,1.478352505537838
8,drpm,0.1,0.75,False,False,False,3,,-198.22467770644087,161.8641541004181,1.682775207667643,0,6.769230769230769,11,3,1.541464928847895
9,drpm,0.1,0.75,False,False,False,4,,-486.01294081020774,244.2747950553894,1.6991151296199263,0,9.788461538461538,6,2,1.4945079457601231
10,drpm,0.1,0.9,False,False,False,3,,-242.3711047542108,118.60983395576477,1.6646853521359186,1,5.115384615384615,24,1,1.7529196359117911
11,drpm,0.1,0.9,False,False,False,4,,-459.8797148703081,218.88607001304626,1.698808040306372,0,8.73076923076923,8,2,1.4945079457601231
12,drpm,1.0,0.0,False,False,False,3,,-802.920205753309,179.73190689086914,1.694857918110077,1,7.711538461538462,23,1,1.7529196359117911
13,drpm,1.0,0.0,False,False,False,4,,907.7035311897798,221.84869384765625,1.7053955159048282,0,10.01923076923077,9,2,1.4945079457601231
14,drpm,1.0,0.1,False,False,False,3,,-814.6394305741397,190.5163929462433,1.6954681630461104,0,8.134615384615385,8,3,1.4945079457601231
15,drpm,1.0,0.1,False,False,False,4,,1155.48082650704,237.56444001197815,1.694878297253357,0,10.692307692307692,6,2,1.4945079457601231
16,drpm,1.0,0.25,False,False,False,3,,-602.1433119292894,212.35685014724731,1.6943512587527558,0,8.346153846153847,6,2,1.4945079457601231
17,drpm,1.0,0.25,False,False,False,4,,707.8775916484282,236.72966694831848,1.696912849385345,0,10.634615384615385,5,2,1.6792814858013652
18,drpm,1.0,0.5,False,False,False,3,,-724.476849805659,157.63064217567444,1.6835126654984973,4,6.6923076923076925,30,1,1.6792814858013652
19,drpm,1.0,0.5,False,False,False,4,,694.6693116771818,233.01798605918884,1.7011484920570554,0,10.48076923076923,6,2,1.6792814858013652
20,drpm,1.0,0.75,False,False,False,3,-8248.806381540497,-719.9552254508606,155.38870120048523,1.7044200324197103,0,6.615384615384615,16,2,1.6792814858013652
21,drpm,1.0,0.75,False,False,False,4,,563.0399553546408,212.10195589065552,1.6956158505830654,0,9.384615384615385,12,2,1.6792814858013652
22,drpm,1.0,0.9,False,False,False,3,,-392.3110724809244,158.78608298301697,1.7021643409254201,0,6.673076923076923,34,3,1.541464928847895
23,drpm,1.0,0.9,False,False,False,4,,442.3045510282054,218.8367829322815,1.6939116975546522,0,9.76923076923077,14,2,1.6792814858013652
24,drpm,10.0,0.0,False,False,False,3,,989.8351986926066,231.33739495277405,1.6982208158742367,0,9.48076923076923,6,2,1.6208016710844153
25,drpm,10.0,0.0,False,False,False,4,,2896.758636070662,201.36289310455322,1.6952095446408282,0,10.211538461538462,6,2,1.6792814858013652
26,drpm,10.0,0.1,False,False,False,3,,-647.2710241876365,188.82680702209473,1.6971347437128543,0,8.307692307692308,16,2,1.6792814858013652
27,drpm,10.0,0.1,False,False,False,4,,976.6525991997585,202.80476903915405,1.6950727894347335,0,10.365384615384615,7,2,1.4945079457601231
28,drpm,10.0,0.25,False,False,False,3,,-380.2120184287961,173.0225830078125,1.690071811641972,0,7.865384615384615,9,2,1.4945079457601231
29,drpm,10.0,0.25,False,False,False,4,,570.3169006152624,205.79249691963196,1.6911661468869514,0,10.173076923076923,13,2,1.2895769416180844
30,drpm,10.0,0.5,False,False,False,3,,-391.00031316888237,167.59828782081604,1.688357790239315,0,7.6923076923076925,11,2,1.6792814858013652
31,drpm,10.0,0.5,False,False,False,4,,702.4668576616601,203.08545589447021,1.6956962147553591,0,10.461538461538462,10,2,1.6792814858013652
32,drpm,10.0,0.75,False,False,False,3,,-314.6135480209576,187.31014108657837,1.7046023506557233,5,8.288461538461538,29,1,1.6208016710844153
33,drpm,10.0,0.75,False,False,False,4,,444.7824984319697,207.34623503684998,1.6946688754809078,0,10.01923076923077,12,2,1.478352505537838
34,drpm,10.0,0.9,False,False,False,3,,-882.7884414038969,179.82653403282166,1.7076958782349727,1,7.865384615384615,8,1,1.6792814858013652
35,drpm,10.0,0.9,False,False,False,4,-40269.773016840765,241.55557300697419,204.02055501937866,1.6821449977317455,0,10.057692307692308,6,2,1.4945079457601231
36,drpm,100.0,0.0,False,False,False,3,,32.270226371369844,161.43667316436768,1.685221321056525,0,8.038461538461538,12,2,1.6792814858013652
37,drpm,100.0,0.0,False,False,False,4,,1357.9861000349194,164.13077092170715,1.6971663522119438,0,10.26923076923077,5,2,1.478352505537838
38,drpm,100.0,0.1,False,False,False,3,,138.76471487537503,207.68712306022644,1.7069702056800669,0,9.73076923076923,6,2,1.4945079457601231
39,drpm,100.0,0.1,False,False,False,4,-18281.566541898905,36553.55787115271,20.970113039016724,1.2709317081499445,0,1.0,34,34,1.7529196359117911
40,drpm,100.0,0.25,False,False,False,3,,605.8049243883403,168.61754298210144,1.675810476253945,0,8.173076923076923,7,2,1.541464928847895
41,drpm,100.0,0.25,False,False,False,4,,760.9437849226371,142.90106296539307,1.670418114840781,0,9.865384615384615,6,2,1.4945079457601231
42,drpm,100.0,0.5,False,False,False,3,,-143.98610317785565,191.64659714698792,1.6895892646623878,0,9.134615384615385,6,2,1.4945079457601231
43,drpm,100.0,0.5,False,False,False,4,-18319.632862713624,36537.17463724602,20.994772911071777,1.2691876054957854,0,1.0,34,34,1.7529196359117911
44,drpm,100.0,0.75,False,False,False,3,,-226.0460513634112,163.75311589241028,1.6931809585501765,0,8.0,9,2,1.478352505537838
45,drpm,100.0,0.75,False,False,False,4,-18289.350189669913,36687.10633944938,21.238144159317017,1.2708763030280108,0,1.0,34,34,1.7529196359117911
46,drpm,100.0,0.9,False,False,False,3,,-221.3414196718772,192.41606521606445,1.7060500778262901,2,8.865384615384615,17,1,1.4945079457601231
47,drpm,100.0,0.9,False,False,False,4,-18312.384819286224,36533.717419002474,21.030131101608276,1.2691159400120107,0,1.0,34,34,1.7529196359117911
