,Method,M,starting_alpha,SpatialCohesion,lpml,waic,time,mse,n_singletons,n_clusters,max_cluster_size,min_cluster_size,max_pm25_diff
0,drpm,0.1,0.0,3,-6997.915571077273,381.618130824764,119.52029609680176,1.706754674235818,0,5.3076923076923075,24,2,1.6792814858013652
1,drpm,0.1,0.0,4,,4619.208721816925,382.0407302379608,1.7015252554582305,0,14.26923076923077,6,2,1.478352505537838
2,drpm,0.1,0.1,3,,503.39545236224967,239.57074904441833,1.7143381003030502,0,9.173076923076923,12,2,1.7529196359117911
3,drpm,0.1,0.1,4,,-156.93089417686917,192.2030577659607,1.696635459618404,1,8.173076923076923,10,1,1.6792814858013652
4,drpm,0.1,0.25,3,,1203.0564567378967,255.38277411460876,1.7065124066429735,0,9.51923076923077,13,2,1.7529196359117911
5,drpm,0.1,0.25,4,,-53.0709868025923,196.1584289073944,1.7044269374497976,3,8.365384615384615,25,1,1.6792814858013652
6,drpm,0.1,0.5,3,,17.050165734619394,120.02216911315918,1.6883305252388268,0,5.288461538461538,12,4,1.6208016710844153
7,drpm,0.1,0.5,4,,-402.15463183977795,220.81020593643188,1.6999343764119224,0,9.192307692307692,8,2,1.4945079457601231
8,drpm,0.1,0.75,3,-1155.1905292016181,-191.8926631481073,105.97909307479858,1.6860384276198621,0,4.711538461538462,26,2,1.6792814858013652
9,drpm,0.1,0.75,4,,461.6619143079874,263.21539092063904,1.7092391631124197,0,10.711538461538462,6,2,1.478352505537838
10,drpm,0.1,0.9,3,,236.02005879619134,134.86765098571777,1.6832626081043618,3,5.673076923076923,31,1,1.7529196359117911
11,drpm,0.1,0.9,4,,-161.24010456140985,216.7429358959198,1.710838523996299,1,8.98076923076923,33,1,1.541464928847895
12,drpm,1.0,0.0,3,,540.1495263688449,122.94292187690735,1.686242049387148,0,5.923076923076923,13,2,1.6208016710844153
13,drpm,1.0,0.0,4,,348.53718616756476,205.66004085540771,1.6916106873351948,0,9.192307692307692,7,2,1.541464928847895
14,drpm,1.0,0.1,3,,-273.63451871125477,157.27834606170654,1.680763385809127,0,6.8076923076923075,21,2,1.541464928847895
15,drpm,1.0,0.1,4,,12103.994571962336,301.77813816070557,1.7027872679537146,0,12.884615384615385,6,2,1.6792814858013652
16,drpm,1.0,0.25,3,,-63.13624553102687,149.20542526245117,1.6957221048579147,1,6.6923076923076925,25,1,1.6208016710844153
17,drpm,1.0,0.25,4,,1907.8681744160735,253.09513521194458,1.701514733854966,0,11.25,6,2,1.541464928847895
18,drpm,1.0,0.5,3,,-224.49710936569525,132.96070504188538,1.6896053500220123,1,6.0,12,1,1.6514021115331317
19,drpm,1.0,0.5,4,,739.1218346381377,207.09694004058838,1.6982063600058,0,9.26923076923077,10,2,1.4945079457601231
20,drpm,1.0,0.75,3,,-391.16775797726336,126.41638803482056,1.703586262400893,1,5.9423076923076925,16,1,1.6792814858013652
